,name,name:fa,name:en,addr:street,geometry,lon,lat
18,درمانگاه شبانه روزی عارف,,Aref Clinic,,POINT (50.01367823986144 36.2745171148392),50.01367823986144,36.2745171148392
19,مرکز خدمات جامع سلامت مدنی,,Community health centre (Madani),,POINT (50.01471454821892 36.294386303500076),50.01471454821892,36.294386303500076
20,درمانگاه تخصصی رادمهر,,Radmehr Specialized Clinic,,POINT (50.01703699212709 36.29802532963272),50.01703699212709,36.29802532963272
21,درمانگاه رازی,,Razi Medical Clinic,,POINT (50.0184385783305 36.29715902281396),50.0184385783305,36.29715902281396
22, (مرکز بهداشت شماره 14 پونک) مرکز بهداشت شهید بلندیان,,Shahid Bolandian Health Center,,POINT (50.02106838467555 36.30269612930395),50.02106838467555,36.30269612930395
23,مرکز خدمات جامع سلامت شماره11 پونک,,Community health centre (Poonak number11),,POINT (50.033811704194164 36.31234883051143),50.033811704194164,36.31234883051143
24,درمانگاه امیرالمومنین,,Amir Ol-Mo'menin Clinic,,POINT (49.99705028634133 36.324935710422025),49.99705028634133,36.324935710422025
25,درمانگاه خیریه حاج ابوطالب تقوی و مرکز خدمات جامع سلامت شماره12,,Abotaleb Taghavi Clinic,,POINT (49.989719609509486 36.312421506231445),49.989719609509486,36.312421506231445
26,درمانگاه شبانه روزی یاسین,,Yasin clinic,,POINT (50.01226285450064 36.30820943869798),50.01226285450064,36.30820943869798
27,مرکز بهداشتی درمانی شماره8 امام حسین (موقوفه علیجانی),,Community health centre (Alijani No. 8),,POINT (49.99750014054197 36.30105592161002),49.99750014054197,36.30105592161002
28,مرکز خدمات جامع سلامت شماره9 هادی آباد,,Community health centre (HadiAbad number9),,POINT (49.996352725075724 36.295296198875235),49.996352725075724,36.295296198875235
29,درمانگاه شهدای ناجا,,Shohadaye Naja Clinic,,POINT (49.99332288047079 36.28093654774278),49.99332288047079,36.28093654774278
30,مرکز خدمات جامع سلامت شماره8 نواب,,Community health centre (Navab No. 8),,POINT (49.99370430221846 36.275500452051986),49.99370430221846,36.275500452051986
31,درمانگاه خیریه محمدزاده و مرکز جامع خدمات سلامت زعفرانیه,,Mohamadzadeh Clinic & Community health centre (Zaferanieh) ,,POINT (49.999294063470934 36.27647084367787),49.999294063470934,36.27647084367787
32,مرکز خدمات جامع سلامت سعدی,,Community health centre (Sadi),,POINT (49.99690594725085 36.27170541954835),49.99690594725085,36.27170541954835
33,مرکز خدمات جامع سلامت شماره5 محله تبریز,,Community health centre (Tabriz),,POINT (49.98941160217969 36.26479310976461),49.98941160217969,36.26479310976461
34,درمانگاه شبانه روزی میلاد,,Milad Clinic,,POINT (50.00888397132118 36.27634573001504),50.00888397132118,36.27634573001504
35,درمانگاه شبانه روزی مهرگان,,Mehregan Clinic,,POINT (50.01659675300677 36.29362159980404),50.01659675300677,36.29362159980404
36,درمانگاه شبانه روزی پونک,,Poonak Clinic,,POINT (50.03273374841751 36.311927467862745),50.03273374841751,36.311927467862745
37,درمانگاه پزشکی و ترک اعتیاد آریا,,Aria Clinic,,POINT (50.021532642325965 36.30974903535599),50.021532642325965,36.30974903535599
38,کلینیک تخصصی محمدزاده,,Mohammadzadeh Specialized Clinic,,POINT (50.03061646313544 36.311840143788835),50.03061646313544,36.311840143788835
39,مرکز خدمات جامع سلامت شماره13 (بانو محتشم),,Comprehensive Health Services Center No. 13 (Bano Mohtasham),,POINT (50.00544204532496 36.2677492362152),50.00544204532496,36.2677492362152
